form_name,form_type,office_code,office_description
I-102,142,CSC,California Service Center
I-102,142,NBC,National Benefits Center
I-102,142,NSC,Nebraska Service Center
I-102,142,SSC,Texas Service Center
I-102,142,ESC,Vermont Service Center
I-129,137-E,CSC,California Service Center
I-129,137-E3,ESC,Vermont Service Center
I-129,137-H1B1,CSC,California Service Center
I-129,137-H1B1,SSC,Texas Service Center
I-129,137-H1B1,ESC,Vermont Service Center
I-129,137-H1B2,CSC,California Service Center
I-129,137-H1B2,SSC,Texas Service Center
I-129,137-H1B2,ESC,Vermont Service Center
I-129,137-H1B3,CSC,California Service Center
I-129,137-H1B3,NSC,Nebraska Service Center
I-129,137-H1B3,SSC,Texas Service Center
I-129,137-H1B3,ESC,Vermont Service Center
I-129,137-H2A,CSC,California Service Center
I-129,137-H2B,CSC,California Service Center
I-129,137-H2B,ESC,Vermont Service Center
I-129,137-H3,CSC,California Service Center
I-129,137-H3,ESC,Vermont Service Center
I-129,137-L,CSC,California Service Center
I-129,137-L,SSC,Texas Service Center
I-129,137-O,CSC,California Service Center
I-129,137-O,ESC,Vermont Service Center
I-129,137-P,CSC,California Service Center
I-129,137-P,ESC,Vermont Service Center
I-129,137-Q,CSC,California Service Center
I-129,137-Q,ESC,Vermont Service Center
I-129,137-R,CSC,California Service Center
I-129,137-TN,ESC,Vermont Service Center
I-129CW,129-CW1,CSC,California Service Center
I-129F,134A-K,CSC,California Service Center
I-129F,134A-K,NSC,Nebraska Service Center
I-129F,134A-K,YSC,Potomac Service Center
I-129F,134A-K,SSC,Texas Service Center
I-129F,134A-K,ESC,Vermont Service Center
I-130,134A-F21,SCD,All Service Centers
I-130,134A-F21,NBC,National Benefits Center
I-130,134A-F21,FOD,All Field Offices
I-130,134A-IR,SCD,All Service Centers
I-130,134A-IR,NBC,National Benefits Center
I-130,134A-IR,FOD,All Field Offices
I-130,134B-F11,SCD,All Service Centers
I-130,134B-F11,NBC,National Benefits Center
I-130,134B-F11,FOD,All Field Offices
I-130,134B-F24,SCD,All Service Centers
I-130,134B-F24,NBC,National Benefits Center
I-130,134B-F24,FOD,All Field Offices
I-130,134B-F31,SCD,All Service Centers
I-130,134B-F31,NBC,National Benefits Center
I-130,134B-F31,FOD,All Field Offices
I-130,134B-F41,SCD,All Service Centers
I-130,134B-F41,NBC,National Benefits Center
I-130,134B-F41,FOD,All Field Offices
I-131,141A-RT,NSC,Nebraska Service Center
I-131,141B-OTH,CSC,California Service Center
I-131,141B-OTH,NBC,National Benefits Center
I-131,141B-OTH,NSC,Nebraska Service Center
I-131,141B-OTH,SSC,Texas Service Center
I-131,141B-OTH,ESC,Vermont Service Center
I-140,136A-E11,NSC,Nebraska Service Center
I-140,136A-E11,SSC,Texas Service Center
I-140,136A-E12,NSC,Nebraska Service Center
I-140,136A-E12,SSC,Texas Service Center
I-140,136A-E13,NSC,Nebraska Service Center
I-140,136A-E13,SSC,Texas Service Center
I-140,136A-E21,NSC,Nebraska Service Center
I-140,136A-E21,SSC,Texas Service Center
I-140,136A-E31,NSC,Nebraska Service Center
I-140,136A-E31,SSC,Texas Service Center
I-140,136A-EW3,NSC,Nebraska Service Center
I-140,136A-EW3,SSC,Texas Service Center
I-140,136A-NIW,NSC,Nebraska Service Center
I-140,136A-NIW,SSC,Texas Service Center
I-140,136A-NUR,NSC,Nebraska Service Center
I-140,136A-NUR,SSC,Texas Service Center
I-212,144B,NSC,Nebraska Service Center
I-212,144B,FOD,All Field Offices
I-360,135B,CSC,California Service Center
I-360,135B,NSC,Nebraska Service Center
I-360,135B,ESC,Vermont Service Center
I-360,135C,SCD,All Service Centers
I-360,135D-RW,CSC,California Service Center
I-360,135E,NSC,Nebraska Service Center
I-407,407,EFC,Eastern Forms Center
I-485,131A,CSC,California Service Center
I-485,131A,NSC,Nebraska Service Center
I-485,131A,SSC,Texas Service Center
I-485,131A,AGA,Agana GU
I-485,131A,ALB,Albany NY
I-485,131A,ABQ,Albuquerque NM
I-485,131A,ANC,Anchorage AK
I-485,131A,ATL,Atlanta GA
I-485,131A,BAL,Baltimore MD
I-485,131A,BOI,Boise ID
I-485,131A,BOS,Boston MA
I-485,131A,BNY,Brooklyn NY
I-485,131A,BUF,Buffalo NY
I-485,131A,STA,Burlington VT
I-485,131A,CHL,Charleston SC
I-485,131A,CHA,Charlotte Amalie VI
I-485,131A,CLT,Charlotte NC
I-485,131A,CHI,Chicago IL
I-485,131A,CHR,Christiansted VI
I-485,131A,CIN,Cincinnati OH
I-485,131A,CLE,Cleveland OH
I-485,131A,CLM,Columbus OH
I-485,131A,NJC,Cranbury NJ
I-485,131A,DAL,Dallas TX
I-485,131A,DEN,Denver CO
I-485,131A,DSM,Des Moines IA
I-485,131A,DET,Detroit MI
I-485,131A,ELP,El Paso TX
I-485,131A,OFM,Fort Myers FL
I-485,131A,FSA,Fort Smith AR
I-485,131A,FRE,Fresno CA
I-485,131A,GRR,Greer SC
I-485,131A,HLG,Harlingen TX
I-485,131A,HAR,Hartford CT
I-485,131A,HEL,Helena MT
I-485,131A,HIA,Hialeah FL
I-485,131A,HHW,Honolulu HI
I-485,131A,HOU,Houston TX
I-485,131A,IMP,Imperial CA
I-485,131A,INP,Indianapolis IN
I-485,131A,JAC,Jacksonville FL
I-485,131A,KAN,Kansas City MO
I-485,131A,KND,Kendall FL
I-485,131A,LVG,Las Vegas NV
I-485,131A,LAW,Lawrence MA
I-485,131A,LNY,Long Island NY
I-485,131A,LOS,Los Angeles CA
I-485,131A,LAC,Los Angeles County CA
I-485,131A,LOU,Louisville KY
I-485,131A,MAN,Manchester NH
I-485,131A,MEM,Memphis TN
I-485,131A,MIA,Miami FL
I-485,131A,MIL,Milwaukee WI
I-485,131A,SPM,Minneapolis-St. Paul MN
I-485,131A,MGA,Montgomery AL
I-485,131A,MTL,Mount Laurel NJ
I-485,131A,NTN,Nashville TN
I-485,131A,NEW,Newark NJ
I-485,131A,NOL,New Orleans LA
I-485,131A,NYC,New York City NY
I-485,131A,NOR,Norfolk VA
I-485,131A,OKL,Oakland Park FL
I-485,131A,OKC,Oklahoma City OK
I-485,131A,OMA,Omaha NE
I-485,131A,ORL,Orlando FL
I-485,131A,PHI,Philadelphia PA
I-485,131A,PHO,Phoenix AZ
I-485,131A,PIT,Pittsburgh PA
I-485,131A,POM,Portland ME
I-485,131A,POO,Portland OR
I-485,131A,PRO,Providence RI
I-485,131A,QNS,Queens NY
I-485,131A,RAL,Raleigh NC
I-485,131A,REN,Reno NV
I-485,131A,SAC,Sacramento CA
I-485,131A,STL,Saint Louis MO
I-485,131A,SLC,Salt Lake City UT
I-485,131A,SNA,San Antonio TX
I-485,131A,SBD,San Bernardino CA
I-485,131A,SND,San Diego CA
I-485,131A,SFV,San Fernando Valley CA
I-485,131A,SFR,San Francisco CA
I-485,131A,SNJ,San Jose CA
I-485,131A,SAJ,San Juan PR
I-485,131A,SAA,Santa Ana CA
I-485,131A,SEA,Seattle WA
I-485,131A,SPO,Spokane WA
I-485,131A,TAM,Tampa FL
I-485,131A,TUC,Tucson AZ
I-485,131A,WAS,Washington DC
I-485,131A,WPB,West Palm Beach FL
I-485,131A,WIC,Wichita KS
I-485,131A,YAK,Yakima WA
I-485,131A-FAM,AGA,Agana GU
I-485,131A-FAM,ALB,Albany NY
I-485,131A-FAM,ABQ,Albuquerque NM
I-485,131A-FAM,ANC,Anchorage AK
I-485,131A-FAM,ATL,Atlanta GA
I-485,131A-FAM,BAL,Baltimore MD
I-485,131A-FAM,BOI,Boise ID
I-485,131A-FAM,BOS,Boston MA
I-485,131A-FAM,BNY,Brooklyn NY
I-485,131A-FAM,BUF,Buffalo NY
I-485,131A-FAM,STA,Burlington VT
I-485,131A-FAM,CHL,Charleston SC
I-485,131A-FAM,CHA,Charlotte Amalie VI
I-485,131A-FAM,CLT,Charlotte NC
I-485,131A-FAM,CHI,Chicago IL
I-485,131A-FAM,CHR,Christiansted VI
I-485,131A-FAM,CIN,Cincinnati OH
I-485,131A-FAM,CLE,Cleveland OH
I-485,131A-FAM,CLM,Columbus OH
I-485,131A-FAM,NJC,Cranbury NJ
I-485,131A-FAM,DAL,Dallas TX
I-485,131A-FAM,DEN,Denver CO
I-485,131A-FAM,DSM,Des Moines IA
I-485,131A-FAM,DET,Detroit MI
I-485,131A-FAM,ELP,El Paso TX
I-485,131A-FAM,OFM,Fort Myers FL
I-485,131A-FAM,FSA,Fort Smith AR
I-485,131A-FAM,FRE,Fresno CA
I-485,131A-FAM,GRR,Greer SC
I-485,131A-FAM,HLG,Harlingen TX
I-485,131A-FAM,HAR,Hartford CT
I-485,131A-FAM,HEL,Helena MT
I-485,131A-FAM,HIA,Hialeah FL
I-485,131A-FAM,HHW,Honolulu HI
I-485,131A-FAM,HOU,Houston TX
I-485,131A-FAM,IMP,Imperial CA
I-485,131A-FAM,INP,Indianapolis IN
I-485,131A-FAM,JAC,Jacksonville FL
I-485,131A-FAM,KAN,Kansas City MO
I-485,131A-FAM,KND,Kendall FL
I-485,131A-FAM,LVG,Las Vegas NV
I-485,131A-FAM,LAW,Lawrence MA
I-485,131A-FAM,LNY,Long Island NY
I-485,131A-FAM,LOS,Los Angeles CA
I-485,131A-FAM,LAC,Los Angeles County CA
I-485,131A-FAM,LOU,Louisville KY
I-485,131A-FAM,MAN,Manchester NH
I-485,131A-FAM,MEM,Memphis TN
I-485,131A-FAM,MIA,Miami FL
I-485,131A-FAM,MIL,Milwaukee WI
I-485,131A-FAM,SPM,Minneapolis-St. Paul MN
I-485,131A-FAM,MGA,Montgomery AL
I-485,131A-FAM,MTL,Mount Laurel NJ
I-485,131A-FAM,NTN,Nashville TN
I-485,131A-FAM,NEW,Newark NJ
I-485,131A-FAM,NOL,New Orleans LA
I-485,131A-FAM,NYC,New York City NY
I-485,131A-FAM,NOR,Norfolk VA
I-485,131A-FAM,OKL,Oakland Park FL
I-485,131A-FAM,OKC,Oklahoma City OK
