form_name,form_subtype,office_code,publication_date,form_note_en,form_note_es,range_upper,range_upper_unit,range_lower,range_lower_unit,service_request_date,subtype_info_en,subtype_info_es
I-102,142,CSC,"March 23, 2023",NA,NA,40,Months,35.5,Months,"December 10, 2019",Initial issuance or replacement of a Form I-94,Emisión o reemplazo inicial del Formulario I-94
I-102,142,NBC,"March 23, 2023",NA,NA,8,Months,5.5,Months,"August 03, 2022",Initial issuance or replacement of a Form I-94,Emisión o reemplazo inicial del Formulario I-94
I-102,142,NSC,"March 23, 2023",NA,NA,21.5,Months,16,Months,"June 26, 2021",Initial issuance or replacement of a Form I-94,Emisión o reemplazo inicial del Formulario I-94
I-102,142,SSC,"March 23, 2023",NA,NA,26,Months,19,Months,"February 04, 2021",Initial issuance or replacement of a Form I-94,Emisión o reemplazo inicial del Formulario I-94
I-102,142,ESC,"March 23, 2023",NA,NA,11.5,Months,8,Months,"April 23, 2022",Initial issuance or replacement of a Form I-94,Emisión o reemplazo inicial del Formulario I-94
I-129,137-BL,CSC,"March 23, 2023",NA,NA,4,Months,5,Weeks,"November 28, 2022",Blanket L,Petición General L
I-129,137-E,CSC,"March 23, 2023",NA,NA,7.5,Months,5.5,Months,"August 14, 2022",E - Treaty traders and investors,E - Comerciantes e inversionistas
I-129,137-E3,ESC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",E3 - Specialty occupation workers from Australia,E-3 para Trabajadores Australianos en Trabajos Especializados
I-129,137-H1B1,CSC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",H-1B - Specialty occupation - Visa to be issued abroad,H-1B - Ocupación especial - visa que se expedirá en el exterior
I-129,137-H1B1,SSC,"March 23, 2023",NA,NA,5,Months,3,Months,"October 29, 2022",H-1B - Specialty occupation - Visa to be issued abroad,H-1B - Ocupación especial - visa que se expedirá en el exterior
I-129,137-H1B1,ESC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",H-1B - Specialty occupation - Visa to be issued abroad,H-1B - Ocupación especial - visa que se expedirá en el exterior
I-129,137-H1B2,CSC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",H-1B - Specialty occupation - Change of status in the U.S.,H-1B - Ocupación especial - cambio de la condición migratoria en los E.E.U.U.
I-129,137-H1B2,SSC,"March 23, 2023",NA,NA,5,Months,3,Months,"October 29, 2022",H-1B - Specialty occupation - Change of status in the U.S.,H-1B - Ocupación especial - cambio de la condición migratoria en los E.E.U.U.
I-129,137-H1B2,ESC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",H-1B - Specialty occupation - Change of status in the U.S.,H-1B - Ocupación especial - cambio de la condición migratoria en los E.E.U.U.
I-129,137-H1B3,CSC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",H-1B - Specialty occupation - Extension of stay in the U.S.,H-1B - Ocupación especial - extensión de la estadía en los E.E.U.U.
I-129,137-H1B3,NSC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",H-1B - Specialty occupation - Extension of stay in the U.S.,H-1B - Ocupación especial - extensión de la estadía en los E.E.U.U.
I-129,137-H1B3,SSC,"March 23, 2023",NA,NA,5,Months,3,Months,"October 29, 2022",H-1B - Specialty occupation - Extension of stay in the U.S.,H-1B - Ocupación especial - extensión de la estadía en los E.E.U.U.
I-129,137-H1B3,ESC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",H-1B - Specialty occupation - Extension of stay in the U.S.,H-1B - Ocupación especial - extensión de la estadía en los E.E.U.U.
I-129,137-H2A,CSC,"March 23, 2023",NA,NA,3,Months,5,Weeks,"March 13, 2023",H-2A - Temporary agricultural workers,H-2A - Trabajadores agrícolas temporales
I-129,137-H2B,CSC,"March 23, 2023",NA,NA,3,Months,5,Weeks,"December 28, 2022",H-2B - Temporary nonagricultural workers,H-2B - Trabajadores temporal no agrícolas
I-129,137-H2B,ESC,"March 23, 2023",NA,NA,3,Months,5,Weeks,"December 28, 2022",H-2B - Temporary nonagricultural workers,H-2B - Trabajadores temporal no agrícolas
I-129,137-H3,CSC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",H-3 - Temporary trainees,H-3 - Aprendices temporales
I-129,137-H3,ESC,"March 23, 2023",NA,NA,4.5,Months,2.5,Months,"November 23, 2022",H-3 - Temporary trainees,H-3 - Aprendices temporales
I-129,137-L,CSC,"March 23, 2023",NA,NA,3,Months,5,Weeks,"December 28, 2022",L - Intracompany transferees,L-1 Ejecutivos Transferidos Dentro una Misma Empresa
I-129,137-L,SSC,"March 23, 2023",NA,NA,4,Months,2,Months,"December 01, 2022",L - Intracompany transferees,L-1 Ejecutivos Transferidos Dentro una Misma Empresa
I-129,137-O,CSC,"March 23, 2023",NA,NA,2.5,Months,2,Weeks,"January 13, 2023",O - Extraordinary ability,O - Capacidad extraordinaria
I-129,137-O,ESC,"March 23, 2023",NA,NA,3,Months,4,Weeks,"January 04, 2023",O - Extraordinary ability,O - Capacidad extraordinaria
I-129,137-P,CSC,"March 23, 2023",NA,NA,2.5,Months,2,Weeks,"January 13, 2023","P - Athletes, artists, and entertainers","P - Atletas, artistas, y actores"
I-129,137-P,ESC,"March 23, 2023",NA,NA,3,Months,4,Weeks,"January 04, 2023","P - Athletes, artists, and entertainers","P - Atletas, artistas, y actores"
I-129,137-Q,CSC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",Q - Cultural exchange visitors,Q - Visitantes de intercambio cultural
I-129,137-Q,ESC,"March 23, 2023",NA,NA,4,Months,2,Months,"November 28, 2022",Q - Cultural exchange visitors,Q - Visitantes de intercambio cultural
I-129,137-R,CSC,"March 23, 2023",NA,NA,7,Months,5,Months,"August 28, 2022",R - Religious occupation,R - Ocupación religiosa
I-129,137-TN,ESC,"March 23, 2023",NA,NA,4,Months,1.5,Months,"November 28, 2022","TN - United States-Mexico-Canada Agreement (USMCA, formerly NAFTA) professional","TN – Profesionales bajo el Tratado de Libre Comercio de Estados Unidos, Canadá y México (USMCA, anteriormente NAFTA)"
I-129CW,129-CW1,CSC,"March 23, 2023",NA,NA,5,Months,3,Months,"October 29, 2022",CW-1 - CNMI-Only Nonimmigrant Transitional Worker,CW-1 - Trabajador Transitorio Solo de CNMI
I-129F,134A-K,CSC,"March 23, 2023",NA,NA,18,Months,16.5,Months,"October 03, 2021",K1/K2/K3/K4 - Fiance(e) or spouse and/or dependent children,K1/K2/K3/K4 - Prometido(a) o cónyuge y/o hijos dependientes
I-129F,134A-K,NSC,"March 23, 2023",NA,NA,6.5,Months,5,Months,"September 13, 2022",K1/K2/K3/K4 - Fiance(e) or spouse and/or dependent children,K1/K2/K3/K4 - Prometido(a) o cónyuge y/o hijos dependientes
I-129F,134A-K,YSC,"March 23, 2023",NA,NA,12.5,Months,8.5,Months,"March 25, 2022",K1/K2/K3/K4 - Fiance(e) or spouse and/or dependent children,K1/K2/K3/K4 - Prometido(a) o cónyuge y/o hijos dependientes
I-129F,134A-K,SSC,"March 23, 2023",NA,NA,18,Months,16.5,Months,"October 03, 2021",K1/K2/K3/K4 - Fiance(e) or spouse and/or dependent children,K1/K2/K3/K4 - Prometido(a) o cónyuge y/o hijos dependientes
I-129F,134A-K,ESC,"March 23, 2023",NA,NA,29,Months,7,Months,"November 06, 2020",K1/K2/K3/K4 - Fiance(e) or spouse and/or dependent children,K1/K2/K3/K4 - Prometido(a) o cónyuge y/o hijos dependientes
I-130,134A-F21,CSC,"March 23, 2023",NA,NA,30.5,Months,25,Months,"September 13, 2020",Permanent resident filing for a spouse or child under 21,Petición de un residente permanente para un cónyuge o un niño menor de 21años
I-130,134A-F21,NSC,"March 23, 2023",NA,NA,18.5,Months,14.5,Months,"September 21, 2021",Permanent resident filing for a spouse or child under 21,Petición de un residente permanente para un cónyuge o un niño menor de 21años
I-130,134A-F21,YSC,"March 23, 2023",NA,NA,35,Months,27.5,Months,"May 03, 2020",Permanent resident filing for a spouse or child under 21,Petición de un residente permanente para un cónyuge o un niño menor de 21años
I-130,134A-F21,SSC,"March 23, 2023",NA,NA,23,Months,17,Months,"May 12, 2021",Permanent resident filing for a spouse or child under 21,Petición de un residente permanente para un cónyuge o un niño menor de 21años
I-130,134A-F21,ESC,"March 23, 2023",NA,NA,39.5,Months,37.5,Months,"December 20, 2019",Permanent resident filing for a spouse or child under 21,Petición de un residente permanente para un cónyuge o un niño menor de 21años
I-130,134A-F21,FOD,"March 23, 2023",NA,NA,64,Months,46,Months,"December 03, 2017",Permanent resident filing for a spouse or child under 21,Petición de un residente permanente para un cónyuge o un niño menor de 21años
I-130,134A-IR,CSC,"March 23, 2023",NA,NA,20.5,Months,15,Months,"July 14, 2021","U.S. citizen filing for a spouse, parent, or child under 21","Petición de un ciudadano de EE.UU. para un cónyuge, un padre, o un niño menor de 21 años"
I-130,134A-IR,NSC,"March 23, 2023",NA,NA,19,Months,14,Months,"September 01, 2021","U.S. citizen filing for a spouse, parent, or child under 21","Petición de un ciudadano de EE.UU. para un cónyuge, un padre, o un niño menor de 21 años"
I-130,134A-IR,YSC,"March 23, 2023",NA,NA,22,Months,16,Months,"June 09, 2021","U.S. citizen filing for a spouse, parent, or child under 21","Petición de un ciudadano de EE.UU. para un cónyuge, un padre, o un niño menor de 21 años"
I-130,134A-IR,SSC,"March 23, 2023",NA,NA,18.5,Months,12.5,Months,"September 25, 2021","U.S. citizen filing for a spouse, parent, or child under 21","Petición de un ciudadano de EE.UU. para un cónyuge, un padre, o un niño menor de 21 años"
I-130,134A-IR,ESC,"March 23, 2023",NA,NA,22.5,Months,14,Months,"May 16, 2021","U.S. citizen filing for a spouse, parent, or child under 21","Petición de un ciudadano de EE.UU. para un cónyuge, un padre, o un niño menor de 21 años"
I-130,134A-IR,FOD,"March 23, 2023",NA,NA,54,Months,36.5,Months,"October 01, 2018","U.S. citizen filing for a spouse, parent, or child under 21","Petición de un ciudadano de EE.UU. para un cónyuge, un padre, o un niño menor de 21 años"
I-130,134B-F11,CSC,"March 23, 2023",NA,NA,88.5,Months,76.5,Months,"November 13, 2015",U.S. citizen filing for unmarried son/daughter 21 or older,Ciudadano estadounidense que presenta solicitud para hijo o hija soltero de 21 años o mayor
I-130,134B-F11,NSC,"March 23, 2023",NA,NA,36.5,Months,24,Months,"March 18, 2020",U.S. citizen filing for unmarried son/daughter 21 or older,Ciudadano estadounidense que presenta solicitud para hijo o hija soltero de 21 años o mayor
I-130,134B-F11,YSC,"March 23, 2023",NA,NA,38.5,Months,36,Months,"January 24, 2020",U.S. citizen filing for unmarried son/daughter 21 or older,Ciudadano estadounidense que presenta solicitud para hijo o hija soltero de 21 años o mayor
I-130,134B-F11,SSC,"March 23, 2023",NA,NA,43,Months,42.5,Months,"September 07, 2019",U.S. citizen filing for unmarried son/daughter 21 or older,Ciudadano estadounidense que presenta solicitud para hijo o hija soltero de 21 años o mayor
I-130,134B-F11,ESC,"March 23, 2023",NA,NA,102,Months,64,Months,"October 09, 2014",U.S. citizen filing for unmarried son/daughter 21 or older,Ciudadano estadounidense que presenta solicitud para hijo o hija soltero de 21 años o mayor
I-130,134B-F11,FOD,"March 23, 2023",NA,NA,78.5,Months,58.5,Months,"September 25, 2016",U.S. citizen filing for unmarried son/daughter 21 or older,Ciudadano estadounidense que presenta solicitud para hijo o hija soltero de 21 años o mayor
I-130,134B-F24,CSC,"March 23, 2023",NA,NA,76,Months,58,Months,"November 30, 2016",Permanent resident for unmarried son or daughter 21 or older,Residente permanente que presenta solicitud para hijo o hija de 21 años o mayor
I-130,134B-F24,NSC,"March 23, 2023",NA,NA,38,Months,34.5,Months,"February 08, 2020",Permanent resident for unmarried son or daughter 21 or older,Residente permanente que presenta solicitud para hijo o hija de 21 años o mayor
I-130,134B-F24,YSC,"March 23, 2023",NA,NA,38,Months,35,Months,"January 29, 2020",Permanent resident for unmarried son or daughter 21 or older,Residente permanente que presenta solicitud para hijo o hija de 21 años o mayor
I-130,134B-F24,SSC,"March 23, 2023",NA,NA,42.5,Months,40.5,Months,"September 13, 2019",Permanent resident for unmarried son or daughter 21 or older,Residente permanente que presenta solicitud para hijo o hija de 21 años o mayor
I-130,134B-F24,ESC,"March 23, 2023",NA,NA,63.5,Months,41.5,Months,"December 16, 2017",Permanent resident for unmarried son or daughter 21 or older,Residente permanente que presenta solicitud para hijo o hija de 21 años o mayor
I-130,134B-F24,FOD,"March 23, 2023",NA,NA,71,Months,39.5,Months,"May 03, 2017",Permanent resident for unmarried son or daughter 21 or older,Residente permanente que presenta solicitud para hijo o hija de 21 años o mayor
I-130,134B-F31,CSC,"March 23, 2023",NA,NA,126,Months,107.5,Months,"October 02, 2012","
U.S. citizen filing for a married son or daughter","
Petición de un ciudadano de EE.UU. para un hijo o una hija casado(a)"
I-130,134B-F31,NSC,"March 23, 2023",NA,NA,68.5,Months,34,Months,"July 16, 2017","
U.S. citizen filing for a married son or daughter","
Petición de un ciudadano de EE.UU. para un hijo o una hija casado(a)"
I-130,134B-F31,YSC,"March 23, 2023",NA,NA,38.5,Months,35.5,Months,"January 24, 2020","
U.S. citizen filing for a married son or daughter","
Petición de un ciudadano de EE.UU. para un hijo o una hija casado(a)"
I-130,134B-F31,SSC,"March 23, 2023",NA,NA,43,Months,42.5,Months,"September 06, 2019","
U.S. citizen filing for a married son or daughter","
Petición de un ciudadano de EE.UU. para un hijo o una hija casado(a)"
I-130,134B-F31,ESC,"March 23, 2023",NA,NA,111,Months,77.5,Months,"January 04, 2014","
U.S. citizen filing for a married son or daughter","
Petición de un ciudadano de EE.UU. para un hijo o una hija casado(a)"
I-130,134B-F31,FOD,"March 23, 2023",NA,NA,108.5,Months,64,Months,"March 21, 2014","
U.S. citizen filing for a married son or daughter","
Petición de un ciudadano de EE.UU. para un hijo o una hija casado(a)"
I-130,134B-F41,CSC,"March 23, 2023",NA,NA,125.5,Months,79.5,Months,"October 21, 2012",U.S. citizen filing for a brother or sister,Petición de un ciudadano de EE.UU. para un hermano o una hermana
